knf_00557_01097230618	ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
knf_00254_00142887464	ನೈಟ್ರೋಜನ್ನಿನ ಕೊರತೆಯ ತೀವ್ರತೆಯನ್ನು ಕಂಡುಕೊಳ್ಳಬೇಕಾದರೆ ಅದರ ಅಂಶ ಸಸ್ಯಾಂಗದ ಯಾವ ಭಾಗದಲ್ಲಿ ಪ್ರಪ್ರಥಮ ಕಡಿಮೆಯಾಗಿರುತ್ತದೆಯೋ ಅಲ್ಲಿ ಪರೀಕ್ಷೆ ಮಾಡಬೇಕು.
knf_00001_00977247973	ರಾಷ್ಟ್ರೀಯ ಹಾಗೂ ಅಂತರರಾಷ್ಟ್ರೀಯ ನಿಯತಕಾಲಿಕಗಳು ಸಿಗುತ್ತವೆ.
knf_01779_02024713720	ಅಂತರಜಾಲ ಸೌಲಭ್ಯ ಇಲ್ಲದವರಿಗೆ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಧನಾದೇಶ ಸ್ವೀಕೃತಿ
knf_06123_01599183050	ಗ್ರಾಮದಲ್ಲಿ ಫಲವತ್ತಾದ ಭೂಮಿ ಇರುವುದರಿಂದ ಎಪ್ಪತ್ತು ಪ್ರತಿಶತ ಜನಸಂಖ್ಯೆ ಕೃಷಿಯಲ್ಲಿ ನಿರತರಾಗಿದ್ದಾರೆ.
knf_01779_01102803566	ಮೊದಲು ಇದು ಪೋರ್ಚುಗೀಸರ ಸ್ವಾಧೀನದಲ್ಲಿತ್ತು.
knf_03271_02018138424	ರಂದ್ರಯುಕ್ತಿಗಳ ಕ್ರಿಯಾತ್ಮಕ ಗುಂಪು ನಿರ್ದಿಷ್ಟ ಅಂಗಾಂಶಗಳಿಗೆ ಚಿಕ್ಕ ಅಣುಗಳ ಸಾಗಾಣಿಕೆಯಲ್ಲಿ ಉಪಯೋಗವಾಗಬಹುದು.
knf_05820_00284655247	ಶಸ್ತ್ರವೈದ್ಯವನ್ನು ಮಾಡುತ್ತಿದ್ದವರು ಕೀಳು ಜಾತಿಯವರಾದರು.
knf_00254_00422041099	ಈ ವಲಯದ ಮೂಲಕವೇ ನೆಲದ ಮೇಲೆ ಬಿದ್ದ ನೀರು ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಜಿನುಗಿ ಅಂತರ್ಜಲ ಭಂಡಾರವಾಗುತ್ತದೆ.
knf_03271_02015774897	ಸಸ್ಯದಲ್ಲಿ ತಗ್ಗಿದ ಉಷ್ಣತೆಯ ಚಿಕಿತ್ಸೆ ಹೆಚ್ಚಾದಂತೆ ಬಿತ್ತನೆ ಮಾಡುವುದಕ್ಕೂ ಮತ್ತು ಕೊಯಿಲು ಮಾಡುವುದಕ್ಕೂ ಮಧ್ಯೆ ಇರುವ ಕಾಲವು ಕಡಿಮೆಯಾಗುತ್ತದೆ.
knf_07345_01137318096	ಅಲ್ಲದೇ ಭವಿಷ್ಯದ ಬಹು ರಾಷ್ಟ್ರೀಯ ವೈಜ್ಞಾನಿಕ ಕಾರ್ಯಾಚರಣೆಗೆ ಪಠ್ಯ ವಿಷಯಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ.
knf_01493_01861639807	ಹಸುಗೂಸಿನಲ್ಲಿ ಕಾಣಬರುವ ರಕ್ತಕೊರೆಗೆ ಬಹುಮಟ್ಟಿನ ಕಾರಣ ರೋಧಜನಕವೇ.
knf_03755_00400685745	ಈ ನಿದರ್ಶನದಲ್ಲಿ ಮಾಡಬಹುದಾಗಿದೆ
knf_05550_00806051978	ಅಂತಾರಾಷ್ಟ್ರೀಯ ಅಭಿವೃದ್ಧಿ ಸಂಸ್ಥೆ
knf_00557_00693422845	ಇಂದ್ರನಂತೆ ನೂರಾರು ಕುದುರೆಗಳು ಹೂಡಿದ ರಥದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
knf_03467_01959641002	ಸರ್ಕಾರಿ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಉದ್ಯಮಗಳಿಗೆ ಅಥವಾ ವಿಶೇಷವಾಗಿ ಸರ್ಕಾರಿ ಪ್ರಭಾವಕ್ಕೆ ಒಳಪಟ್ಟಿರುವ ಸಂಸ್ಥೆಗಳಿಗೆ ನೆರವು ಸಿಗುವುದಿಲ್ಲ.
knf_07598_01631680169	ಅಲ್ಲದೆ ಇದರ ಕಾಯಿಗಳಿಗಾಗಿ ಗ್ರಾಮಾಂತರ ಪ್ರದೇಶಗಳಲ್ಲಿ
knf_00254_01109646751	ಈ ಸಂಸ್ಥೆ ತನ್ನ ಬಂಡವಾಳ ವಿನಿಯೋಗದ ಜೊತೆಗೆ ದೇಶದ ಆರ್ಥಿಕ ಬೆಳೆವಣಿಗೆಗೆ ಅಗತ್ಯವಾದ ಎಲ್ಲ ಅಂಶಗಳನ್ನೂ ಏರ್ಪಾಟುಗಳನ್ನೂ ವಿಮರ್ಶೆಮಾಡುವ ಹೊಣೆಗಾರಿಕೆಯನ್ನು ಹೊತ್ತಿದೆ.
knf_05550_01969100159	ಅಂದರೆ ಇಪ್ಪತ್ತಕ್ಕೆ ಹತ್ತರ ಎರಡು ಚಿಹ್ನೆ
knf_06123_01461977831	ಇದರಲ್ಲಿ ಕೊನೆಯ ಗುಂಪು ವ್ಯತ್ಯಾಸವಾಗಬಲ್ಲ ಅಂಕಿಗಳ ಸಂಖ್ಯೆ ಹೊಂದಿರುತ್ತದೆ.
knf_05820_01696911060	ಈ ಚಿಕಿತ್ಸೆಯನ್ನು ಬೇರೆ ಬೇರೆ ಸಸ್ಯಗಳಲ್ಲಿ ಬೇರೆ ಬೇರೆ ಹಂತಗಳಲ್ಲಿ ಕೊಡಬೇಕಾಗುವುದು.
knf_02049_00235999111	ಇದರ ರಾಜ್ಯ ವಿಶ್ವದಷ್ಟು ವಿಸ್ತಾರ.
knf_00254_01647525555	ಭದ್ರ ಡ್ಯಾಂ ಎಂಬುದು ಒಂದು ಪ್ರವಾಸೀ ಕೇಂದ್ರವಾಗಿದೆ.
knf_01796_00061022997	೧೮ನೇ ಶತಮಾನದಲ್ಲಿ ಗುರುತಿಸಲಾದ ಅಸ್ಥಿರ ಚಲನಶಾಸ್ತ್ರ ಇದರಲ್ಲೊಂದೆನಿಸಿದೆ.
knf_05550_00834252679	ಈ ಹಿಂದೆ ನಾಯಕ ಮನೆತನದವರು ಈ ಊರನ್ನು ಆಳುತ್ತಿದ್ದರ೦ತೆ.
knf_06123_00344050839	ಆ ಎತ್ತರದ ಕೆಳಗೆ ಪರಕೀಯ ವಿಮಾನಗಳು ಒಂದು ದೇಶದ ಮೇಲೆ ಅದರ ಒಪ್ಪಿಗೆಯಿಲ್ಲದೆ ಹಾರಾಡುವುದು ನಿಷೇಧ
knf_03755_01455637299	ಏಕೆಂದರೆ ಅವರು ಉಸಿರಿನ ಮೂಲಕ ಹೊರಹಾಕಿದ ಇಂಗಾಲದ ಡೈ ಆಕ್ಸೈಡ್ ನ ಗುಳ್ಳೆಗಳು ಅವರ ತಲೆಯ ಸುತ್ತಲೇ ಉಳಿದುಕೊಳ್ಳುತ್ತವೆ.
knf_03844_01662506119	ಈ ದಿನ ಪ್ರಾರಂಭಕ್ಕೆ ಅನೇಕ ವಿಶ್ವ ನಾಯಕರಿಂದ ಸಹಕಾರ ದೊರೆತಿದೆ.
knf_03467_00296369160	ಪ್ರಕೃತಿಯ ರೌದ್ರ ಸ್ವರೂಪವನ್ನು ಇವನು ಪ್ರತಿನಿಧಿಸುತ್ತಾನೆ.
knf_01493_00404659685	ವಿದ್ಯುನ್ಮಂಡಲದಲ್ಲಿ ವಿದ್ಯುತ್ತಿನಿಂದ ವಿದ್ಯುತ್ ಪೂರಣವಾದ ಅಣುವಿನ  ಸ್ಥಾಯೀ ವಿದ್ಯುತ್ತಿನ ಅಂತಸ್ಥ ಶಕ್ತಿಯಾಗಿದೆ.
knf_00001_01623910163	ಸರಣಿಯನ್ನು ಸಾಗಿಸುವ ಮೋಟಾರ್ ನಲ್ಲಿ ವಿಪರೀತ ಕಂಪನ ಮತ್ತು ಹೈ ಕರೆಂಟ್ ಸ್ಪೈಕ್ ಗಳು ಕಾಣಿಸಿಕೊಂಡವು.
knf_03574_00156386493	ಒಂದನೆಯ ಮಹಾಯುದ್ಧಕ್ಕೂ ಇದೇ ಮೂಲವೆನ್ನುವವರೂ ಇದ್ದಾರೆ.
knf_07598_00253012742	ಗುರುತ್ವಾಕರ್ಷಣಾ ಮಾದರಿಯು ಮೂಲಭೂತವಾಗಿ ಆಮದಿಗೆ ಗಮನ ಕೊಡುತ್ತದೆ
knf_01779_01391037344	ಉದಾಹರಣೆಗೆ ಎರಡು ತಂಡಗಳು ಪರಸ್ಪರ ಎದುರುಬದುರಾಗಿ ಸಂಧಿಸಿ ಮುಂದೆ ಹೋಗಬಾರದು.
knf_09696_00779393186	ಈ ವ್ಯವಹಾರ ಶಿಕ್ಷಣ ವಂತರಿಗೆ ಮಾತ್ರ ಸಾಧ್ಯ ಅವಿಧ್ಯಾವಂತರಿಗೆ ಇದು ಸೂಕ್ತವಲ್ಲ.
knf_02049_01955479682	ಹಗಲಿನ ಶಸ್ತ್ರಚಿಕಿತ್ಸಾ ಕೇಂದ್ರಗಳ ಮೂಲಕ ಅನೇಕ ರೋಗಿಗಳ ನಿಗಾವಣೆ ನಡೆಯುತ್ತಿದ್ದು
knf_09696_00132652399	ಪ್ರಪಂಚದಲ್ಲಿ ಪದೇ ಪದೇ ಸಂಭವಿಸುವ ಬಿಕ್ಕಟ್ಟುಗಳಿಗೂ ಯುದ್ಧಗಳಿಗೂ ರಾಷ್ಟ್ರಗಳ ನಡುವೆ ಸಹಕಾರ ಇಲ್ಲದಿರುವುದೇ ಕಾರಣ.
knf_00557_01128272548	ಸರ್ಪವೇದ
knf_00001_01676291107	ಆದ್ದರಿಂದಲೇ ಶರೀರಕ್ರಿಯಾವಿಜ್ಞಾನವನ್ನು ನೋಡಬೇಕು.
knf_05550_02041579028	ಅಂತರಿಕ್ಷದೇವತೆಗಳಲ್ಲೆಲ್ಲ ಓಜಸ್ಸುಳ್ಳವನೂ ಬಲಿಷ್ಠನೂ ಆದವನು ಇಂದ್ರ.
knf_02049_00114697512	ಅಲ್ಲದೇ ಒಂದು ಗಗನಯಾತ್ರೆಯ ಕಮಾಂಡರ್ ಮತ್ತೊಂದು ಗಗನಯಾತ್ರೆಯ ಕಮಾಂಡರ್ ಗೆ ನಿಲ್ದಾಣವನ್ನು ಅಧಿಕೃತವಾಗಿ ಒಪ್ಪಿಸಿದ ನಂತರ ಗಗನಯಾತ್ರೆಯನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗುತ್ತದೆ.
knf_03467_00425446801	ಅಂತರಾಷ್ಟ್ರೀಯ ವ್ಯವಹಾರವು ಅಂತರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರಕ್ಕಿಂತ ವಿಶಾಲವಾಗಿದೆ.
knf_03574_00338085389	ಅಂತರ್ಜಾಲದ ಬಳಕೆ ಮತ್ತು ಹೊಸ ತಂತ್ರಜ್ಞಾನಗಳು ಕಾಲಾನುಕ್ರಮದಲ್ಲಿ ವಿಕಸಿತವಾಗುತ್ತ ಹೋದಂತೆ ಈ ವಿಧಾನಗಳೂ ಕೂಡ ಬದಲಾಗುತ್ತಿವೆ.
knf_06123_00469293098	ಭಾರತದ ಮಾಜಿ ವೇಗದ ಬೌಲರ್ ಮತ್ತು ಪಂಜಾಬಿ ನಟ ಯೋಗರಾಜ್ ಸಿಂಗ್‌ರ ಮಗನಾದ.
knf_07345_01641316274	ಆಂತರಿಕ ದಹನಕಾರಿ ಇಂಜಿನ್ ಎಂದರೆ ಸಾಮಾನ್ಯವಾಗಿ ದಹನ ಅಂತರಿಕವಾಗಿರುವ ಒಂದು ಇಂಜಿನ್.
knf_00254_00567573707	ಇದರ ಸ್ಥಾಪಕ ವಿಲ್ಹೆಮ್ ವುಂಟ್.
knf_01493_01995951894	ಜಗತ್ಕಾರಣವಾದ ಪರತತ್ತ್ವವೇ ಹೀಗೆ ಬೇರೆ ಬೇರೆ ರೂಪಗಳಲ್ಲಿ ನಮ್ಮನ್ನು ಕೈಹಿಡಿದು ನಡೆಸುತ್ತದೆ ಎಂದು ವರ್ಣಿಸಿದ್ದಾರೆ.
knf_05550_01207101906	ಅಮೃತಮಂಥನದಲ್ಲಿ ಧನ್ವಂತರಿ ಹುಟ್ಟಿ ಲೋಕಕ್ಕೆ ಅಮೃತವನ್ನು ತಂದನೆಂದು ಮಹಾಭಾರತದಲ್ಲಿ ಹೇಳಿದೆ.
knf_06123_00425937714	ಆದರೆ ಈ ಕಡ್ಡಾಯ ಎಂಬ ನಿಯಮವು ಮೂವತ್ತಾರು ಅಧಿನಿಯಮವನ್ನು ಒಂದೊಂದು ಬಾರಿ ಕಾರ್ಯಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿ ಬಗ್ಗೆ ತಪ್ಪಾಗಿ ಅರ್ಥೈಸಲಾಗುತ್ತದೆ.
knf_08476_00919951349	ಪ್ರಯೋಗಶೀಲತೆ
knf_03271_01280046274	ಮಣ್ಣು ಹಾಗೂ ಸಂಪುಟದ ನಡುವಿನ ಜಾಗವನ್ನು ಒತ್ತಡಕ್ಕೊಳಪಡಿಸಿರುತ್ತಾರೆ.
knf_00254_00386694014	ಅಲ್ಲದೇ ಜ್ವೆಜ್ದ ಹೊರಾಂಗಣದ ಮೇಲಿರುವ ಆಂಟೆನಗಳ ಮೂಲಕ ಭೂ ನಿಯಂತ್ರಣಾ ಕಕ್ಷಾ ಸಂಪರ್ಕ ಕೇಂದ್ರಗಳಿಗೆ ಕಳಿಸಲಾಗುತ್ತಿದೆ
knf_03467_00276108653	ಪೂರ್ವ ಮತ್ತು ಪಶ್ಚಿಮ ಭಾಗಗಳ ನಡುವಿನ ಪ್ರಸ್ಥಭೂಮಿ
knf_02049_02025772085	ಇವುಗಳನ್ನು ಮೂಲವಾಗಿಟ್ಟುಕೊಂಡು ಎಲ್ಲ ಜಟಿಲವಾದ ಸಮಸ್ಯೆಗಳನ್ನು ಬಗೆಹರಿಸಬಹುದು
knf_02049_01784472631	ವೈಜ್ಞಾನಿಕವಾಗಿ ಪೂರಕ ಪ್ರದೇಶದಿಂದ ವಿಸರ್ಜಕ ಪ್ರದೇಶಗಳೆಡೆಗೆ ಹರಿಯುತ್ತದೆ.
knf_02173_00088208001	ಎಂಟ್ನೂರು ಮೀಟರ್‌ಗಳಲ್ಲಿ
knf_05550_02063995300	ಒಟ್ಟು ಜನಸಂಖ್ಯೆ ೨೪
knf_07345_00588277191	ತತ್ತ್ವಜ್ಞರು ಜಗತ್ತಿನ ಸತ್ಯತೆ ಮಿಥ್ಯತೆಗಳನ್ನು ವಿಮರ್ಶಿಸುವಾಗ ಜಗತ್ತಿನಲ್ಲಿರುವ ಸತ್ಯವಾವುದು
knf_03755_00141583896	ಮೊದಲು 1945ನೇ ಇಸವಿಯ ಡಿಸೆಂಬರ್ 27ರಂದು ಪ್ರಥಮವಾಗಿ ಸೇರ್ಪಡೆಗೊಂಡ 29 ರಾಷ್ಟ್ರಗಳು ನಿಬಂಧನೆಗಳ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಿದಾಗ  ಅಂತರರಾಷ್ಟ್ರೀಯ ಹಣಕಾಸು ನಿಧಿ ವಿಧ್ಯುಕ್ತವಾಗಿ ಸ್ಥಾಪನೆಯಾಗಿತ್ತು.
knf_03574_01609069976	ಅಲ್ಲದೇ ಅದಕ್ಕೆ ಅಗತ್ಯ ತರಬೇತಿ ವ್ಯವಸ್ಥೆ ಮಾಡಿದರು.
knf_00001_00413020320	ಈ ಶಾಖೆಯ ಕಾಯಿದೆ ಹೆಸರಿಗೆ ಕಾಯಿದೆ
knf_00254_01943050738	ನಂತರ ದೇಶದ ಅತ್ಯಂತ ಗೌರವಾನ್ವಿತ ಪ್ರಶಸ್ತಿಯಾದ ರಾಜೀವ್ ಗಾಂಧಿ ಖೇಲ್ ರತ್ನವನ್ನು 2003-2004 ನೇ ಸಾಲಿನಲ್ಲಿ ನೀಡಲಾಯಿತು.
knf_03755_00398180127	ಹಗಲಿನ ವೇಳೆಯಲ್ಲಿನ ಭೂಮಿಯ ಮೇಲೆ ಬೆಳಕಿರುವ ಭಾಗದಲ್ಲಿ ಬ್ಯಾಟರಿಗಳನ್ನು ಪುನರಾವೇಶಿಸಲಾಗುತ್ತದೆ.
knf_05550_00445854911	ಮಾರುಕಟ್ಟೆ ವಿಸ್ತರಣೆ ,  ಈ ವ್ಯವಹಾರವು ಮಾರುಕಟ್ಟೆಗಳನ್ನು ವಿಸ್ತರಿಸುತ್ತದೆ.
knf_09696_01661748829	ಭೌಗೋಳಿಕ ವಿಶೇಷತೆ ಮತ್ತು ಕ್ರಮ ವಿಭಜನೆ, ಎಲ್ಲಾ ದೇಶಗಳು ಒಂದೇ ರೀತಿಯ ಹವಗುಣ ಮತ್ತು ವಾಯುಗುಣ ಹೊಂದಿರುವುದಿಲ್ಲ.
knf_02173_00798528092	ರಾಂಪ್‌ನಲ್ಲಿ ಬಲಕ್ಕೆ ತಿರುಗಿ
knf_09696_00069342685	ಮಾಗಿದ ಹಣ್ಣುಗಳನ್ನು ಕಿತ್ತು ಹಣ್ಣಿನಮೇಲೆ ಹಣ್ಣು ಬೀಳದಂತೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಮರದ ತಟ್ಟೆಯಲ್ಲಿಡುತ್ತಾರೆ
knf_01493_01634609182	ಇದು ನಿಲ್ದಾಣದ ಜೋಡಣಾ ಯೋಜನೆಗಳಿಗೆ ತಾತ್ಕಾಲಿಕ ತಡೆಯೊಡ್ಡಿತು.
knf_08476_00023010443	ತನ್ನ ವ್ಯವಹಾರದಿಂದ ಸಂಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಲಾಭನಷ್ಟಗಳಿಗೂ ಈ ಸಂಸ್ಥೆಯೇ ಪುರ್ಣವಾಗಿ ಹೊಣೆಯಾಗಿದೆ
knf_07345_01995564245	ಇದೇ ರೀತಿ ಚಳಿಗಾಲದ ಜವೆಗೋದಿಯ ತಳಿಯ ಮೊಳೆಯುತ್ತಿರುವ ಬೀಜಗಳನ್ನು
knf_05550_00658415434	ನೀರಿನ ಆವಿಯಿದ್ದರೆ ತನ್ನ ದೃಢತೆಯನ್ನು ಕಳೆದುಕೊಳ್ಳುವುದರಿಂದ ಅವುಗಳ ಉಪಯೋಗ ಕಾಗದಗಳನ್ನು ಅಂಟಿಸಲು ಮಾತ್ರ.
knf_01796_00681401725	ಆದರೂ ಕೂಡ ಈ ಅಂದಾಜನ್ನು ಅಪೋಲೋ ಪ್ರೋಗ್ರಾಂ ನ ಆಧಾರದ ಮೇಲೆ ಮಾಡಲಾಗಿದ್ದು
knf_03271_00149014152	ಫ್ರೆಂಚ್ ಮತ್ತು ಜರ್ಮನ್ ಮಾರ್ಕ್ಸ್ ವಾದಿಗಳು ಇದರ ಸ್ಥಾಪನೆಯ ಕಾಲದಲ್ಲಿ ಪ್ರಭಾವಶಾಲಿಗಳಾಗಿದ್ದರು.
knf_09696_00309359849	ಪಾತ್ರ ಹಾಗು ಜವಾಬ್ದಾರಿಗಳಿಗೆ ಅನುಸಾರವಾಗಿ ಅನ್ವಯಗಳನ್ನು ಬಳಕೆ ಮಾಡಬಹುದು.
knf_03844_01783103658	ಈ ಪದ್ದತಿಯಲ್ಲಿ ವ್ಯಾಜ್ಯದವರು ತಮಗೆ ಬೇಕಾದ ನ್ಯಾಯಾಧೀಶರನ್ನು ನಾಮಸೂಚಕ ಮಾಡಬಹುದು.
knf_05820_00760499597	ಕೂಡಿಸು
knf_00254_01445391292	ಅಲ್ಲದೇ ಅವುಗಳನ್ನು ಅಲ್ಲಿನ ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಬೇಯಿಸುತ್ತಾರೆ.
knf_09696_00657972668	ಅಂಗಾಂಶ ಇಂಜಿನಿಯರಿಂಗ್ ಈಗ ಎದುರಿಸುತ್ತಿರುವ ಮುಖ್ಯ ಸವಾಲು ಏನೆಂದರೆ ಇದು ಇನ್ನೂ ಹೆಚ್ಚಿನ ಕಾರ್ಯನಿರ್ವಹಣೆಯನ್ನು ಹೊಂದುವಂತಹುದ್ದಾಗಬೇಕಾಗಿದೆ.
knf_00557_00082497925	ಇದು 990 ಕಿಲೋಮೀಟರ್
knf_09123_01402865830	ಪಟ್ಟಿಯ ಮಾನದಂಡ ಅಂಕ ಅಂಗೀಕೃತ ಪದ್ಧತಿಯಲ್ಲಿ ಬಳಸಲಾಗುತ್ತದೆ ಮತ್ತು ಗುಣಮಟ್ಟದ ಕೆಲಸ ಎಂದು ಲೆಕ್ಕ ಏನು ಚರ್ಚೆಗೆ ಅವಕಾಶ ಎಂದು
knf_01779_01043659655	ಅಂಜದೀವ್ನ ಬಳಿ ಭಾರತದ ಜಲನೌಕೆಗಳು ಹೋದಾಗ ಪೋರ್ಚುಗೀಸ್ ಪಡೆಗಳು ಶರಣಾಗತವಾದವು.
knf_03755_01420581943	ಆದರೂ ಅಂತಹ ತುಣುಕುಗಳು ಸ್ವತಃ ತಮ್ಮನ್ನು ಬೃಹತ್ ಗೋಡೆಗಳು ಅಥವಾ ಏಕಶಿಲೆಗಳಾಗಿ ಪ್ರಸ್ತುತ ಪಡಿಸುತ್ತವೆ
knf_01493_01656566847	ಹತ್ತಿಯನ್ನು ಬೆಳೆದು ಎಲ್ಲವನ್ನೂ ಹೊರದೇಶಗಳಿಗೆ ರಫ್ತು ಮಾಡುತ್ತಾರೆ.
knf_01796_00821693610	ಆದರೆ ಇಂಥ ಶಿಲೆಗಳಲ್ಲಿ ಹೆಚ್ಚಿನ ವೇಳೆ ಬಿರುಕುಗಳಿರುವುದರಿಂದ ಅವುಗಳ ಮೂಲಕ ನೀರು ನೆಲದಾಳಕ್ಕೆ ಇಳಿಯುತ್ತದೆ.
knf_03467_00623433865	ಅಂತರ್ಜಾಲಗಳು ಬಳಕೆದಾರನ, ನಿರ್ದಿಷ್ಟ ಉದ್ದೇಶದ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿರುವುದರಿಂದ ನೀವು ಯಾರೊಂದಿಗೆ ಮುಖಾಮುಖಿ ಮಾಡುತ್ತಿರುವಿರೆಂದು ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ತಿಳಿದಿರುತ್ತದೆ.
knf_09123_01087915920	ಭಾರತೀಯ ಬಾಂಧವರನ್ನು ಮತ್ತು ಪೋರ್ಚುಗೀಸರ ವಶದಲ್ಲಿದ್ದ ಇನ್ನುಳಿದ ವಸಾಹತುಗಳನ್ನು ಭಾರತ ಹೇಗೆ ಮುಕ್ತಿಗೊಳಿಸಿತೆಂಬುದು ಇಂದಿನ ಇತಿಹಾಸಕ್ಕೆ ಸೇರಿಕೊಂಡಿರುವ ವಿಷಯ
knf_01796_01050913875	ಸಮಯಸಾಧಕ ಮುಂದಾಳುಗಳು ಈ ಅಂತಾರಾಷ್ಟ್ರೀಯದ ಕಡೆಯ ವರ್ಷಗಳಲ್ಲಿ ಸಮಾಜವಾದಿ ತತ್ತ್ವವನ್ನು ಕೈಬಿಟ್ಟು ಬೂಜರ್್ವ ಸುಧಾರಣಾ ನೀತಿಗೆ ಮಾರುಹೋಗಿ ಅದರ ಕ್ರಾಂತಿಕಾರಿ ನೀತಿಯನ್ನು ಮೊಟಕು ಮಾಡಿದರು.
knf_00254_00934498980	ಅಂದಾಜು 26 ಮಿಲಿಯನ್ ಹೆಕ್ಟೇರು ಮೀಟರು ನೀರು ಅಂತರ್ಜಲ ಭಂಡಾರವಾಗಿ ನೆಲದಲ್ಲಿ ಸಂಗ್ರಹವಾಗುತ್ತದೆ.
knf_03755_00509615417	ಇಂಥ ಹಂಚಿಕೆಯನ್ನು ಹಲವಾರು ವಿಧಾನಗಳಲ್ಲಿ ಮಾಡಬಹುದು.
knf_01493_00497544022	ಈ ತತ್ತ್ವವನ್ನು ಭಾರತದಲ್ಲಿ ವ್ಯವಸಾಯ ಕ್ಷೇತ್ರದಲ್ಲಿ ಬಹಳವಾಗಿ ಉಪಯೋಗಿಸುತ್ತಾರೆ.
knf_00254_01705277091	ವ್ಯವಸ್ಥಾಪಕ ನಿರ್ದೇಶಕರನ್ನು ನಿರ್ಧರಿಸುವ ಕಾರ್ಯನಿರ್ವಾಹಕ ನಿರ್ದೇಶಕರನ್ನು ಆಯ್ಕೆ ಮಾಡಲಾಗುತ್ತದೆ
knf_00001_01200920211	ಅಂತಾರಾಷ್ಟ್ರೀಯ ಕಾರ್ಟೆಲ್ಲುಗಳಲ್ಲಿ ಎರಡು ವಿಧ
knf_09696_00375999980	ಒಂದು ದೇಶದ ಅಂತರಿಕ್ಷ ಪ್ರದೇಶದಲ್ಲಿ ಯಾವ ಬಗೆಯ ವಿಮಾನಗಳು ಹಾರಾಡಬಹುದೆಂಬುದನ್ನು ನಿಗದಿ ಮಾಡಿದ್ದಾರೆ.
knf_05820_00196944896	ಅದು ಒಂದು ಬಗೆಯ ಸ್ಪಷ್ಟವಾದ
knf_00254_00872855172	ರೈಲ್ವೆ
