audio files name,transcriptions
audiofile/knf_06123_01599183050.wav,ಗ್ರಾಮದಲ್ಲಿ ಫಲವತ್ತಾದ ಭೂಮಿ ಇರುವುದರಿಂದ ಎಪ್ಪತ್ತು ಪ್ರತಿಶತ ಜನಸಂಖ್ಯೆ ಕೃಷಿಯಲ್ಲಿ ನಿರತರಾಗಿದ್ದಾರೆ.
audiofile/knf_01779_01102803566.wav,ಮೊದಲು ಇದು ಪೋರ್ಚುಗೀಸರ ಸ್ವಾಧೀನದಲ್ಲಿತ್ತು.
audiofile/knf_03271_02018138424.wav,ರಂದ್ರಯುಕ್ತಿಗಳ ಕ್ರಿಯಾತ್ಮಕ ಗುಂಪು ನಿರ್ದಿಷ್ಟ ಅಂಗಾಂಶಗಳಿಗೆ ಚಿಕ್ಕ ಅಣುಗಳ ಸಾಗಾಣಿಕೆಯಲ್ಲಿ ಉಪಯೋಗವಾಗಬಹುದು.
audiofile/knf_05820_00284655247.wav,ಶಸ್ತ್ರವೈದ್ಯವನ್ನು ಮಾಡುತ್ತಿದ್ದವರು ಕೀಳು ಜಾತಿಯವರಾದರು.
audiofile/knf_00254_00422041099.wav,ಈ ವಲಯದ ಮೂಲಕವೇ ನೆಲದ ಮೇಲೆ ಬಿದ್ದ ನೀರು ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಜಿನುಗಿ ಅಂತರ್ಜಲ ಭಂಡಾರವಾಗುತ್ತದೆ.
audiofile/knf_03271_02015774897.wav,ಸಸ್ಯದಲ್ಲಿ ತಗ್ಗಿದ ಉಷ್ಣತೆಯ ಚಿಕಿತ್ಸೆ ಹೆಚ್ಚಾದಂತೆ ಬಿತ್ತನೆ ಮಾಡುವುದಕ್ಕೂ ಮತ್ತು ಕೊಯಿಲು ಮಾಡುವುದಕ್ಕೂ ಮಧ್ಯೆ ಇರುವ ಕಾಲವು ಕಡಿಮೆಯಾಗುತ್ತದೆ.
audiofile/knf_07345_01137318096.wav,ಅಲ್ಲದೇ ಭವಿಷ್ಯದ ಬಹು ರಾಷ್ಟ್ರೀಯ ವೈಜ್ಞಾನಿಕ ಕಾರ್ಯಾಚರಣೆಗೆ ಪಠ್ಯ ವಿಷಯಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ.
audiofile/knf_01493_01861639807.wav,ಹಸುಗೂಸಿನಲ್ಲಿ ಕಾಣಬರುವ ರಕ್ತಕೊರೆಗೆ ಬಹುಮಟ್ಟಿನ ಕಾರಣ ರೋಧಜನಕವೇ.
audiofile/knf_03755_00400685745.wav,ಈ ನಿದರ್ಶನದಲ್ಲಿ ಮಾಡಬಹುದಾಗಿದೆ
audiofile/knf_05550_00806051978.wav,ಅಂತಾರಾಷ್ಟ್ರೀಯ ಅಭಿವೃದ್ಧಿ ಸಂಸ್ಥೆ
audiofile/knf_00557_00693422845.wav,ಇಂದ್ರನಂತೆ ನೂರಾರು ಕುದುರೆಗಳು ಹೂಡಿದ ರಥದಲ್ಲಿ ಸಂಚರಿಸುವವನು.
audiofile/knf_03467_01959641002.wav,ಸರ್ಕಾರಿ ಕ್ಷೇತ್ರಕ್ಕೆ ಸೇರಿದ ಉದ್ಯಮಗಳಿಗೆ ಅಥವಾ ವಿಶೇಷವಾಗಿ ಸರ್ಕಾರಿ ಪ್ರಭಾವಕ್ಕೆ ಒಳಪಟ್ಟಿರುವ ಸಂಸ್ಥೆಗಳಿಗೆ ನೆರವು ಸಿಗುವುದಿಲ್ಲ.
audiofile/knf_07598_01631680169.wav,ಅಲ್ಲದೆ ಇದರ ಕಾಯಿಗಳಿಗಾಗಿ ಗ್ರಾಮಾಂತರ ಪ್ರದೇಶಗಳಲ್ಲಿ
audiofile/knf_00254_01109646751.wav,ಈ ಸಂಸ್ಥೆ ತನ್ನ ಬಂಡವಾಳ ವಿನಿಯೋಗದ ಜೊತೆಗೆ ದೇಶದ ಆರ್ಥಿಕ ಬೆಳೆವಣಿಗೆಗೆ ಅಗತ್ಯವಾದ ಎಲ್ಲ ಅಂಶಗಳನ್ನೂ ಏರ್ಪಾಟುಗಳನ್ನೂ ವಿಮರ್ಶೆಮಾಡುವ ಹೊಣೆಗಾರಿಕೆಯನ್ನು ಹೊತ್ತಿದೆ.
audiofile/knf_05550_01969100159.wav,ಅಂದರೆ ಇಪ್ಪತ್ತಕ್ಕೆ ಹತ್ತರ ಎರಡು ಚಿಹ್ನೆ
audiofile/knf_06123_01461977831.wav,ಇದರಲ್ಲಿ ಕೊನೆಯ ಗುಂಪು ವ್ಯತ್ಯಾಸವಾಗಬಲ್ಲ ಅಂಕಿಗಳ ಸಂಖ್ಯೆ ಹೊಂದಿರುತ್ತದೆ.
audiofile/knf_05820_01696911060.wav,ಈ ಚಿಕಿತ್ಸೆಯನ್ನು ಬೇರೆ ಬೇರೆ ಸಸ್ಯಗಳಲ್ಲಿ ಬೇರೆ ಬೇರೆ ಹಂತಗಳಲ್ಲಿ ಕೊಡಬೇಕಾಗುವುದು.
audiofile/knf_02049_00235999111.wav,ಇದರ ರಾಜ್ಯ ವಿಶ್ವದಷ್ಟು ವಿಸ್ತಾರ.
audiofile/knf_00254_01647525555.wav,ಭದ್ರ ಡ್ಯಾಂ ಎಂಬುದು ಒಂದು ಪ್ರವಾಸೀ ಕೇಂದ್ರವಾಗಿದೆ.
audiofile/knf_01796_00061022997.wav,೧೮ನೇ ಶತಮಾನದಲ್ಲಿ ಗುರುತಿಸಲಾದ ಅಸ್ಥಿರ ಚಲನಶಾಸ್ತ್ರ ಇದರಲ್ಲೊಂದೆನಿಸಿದೆ.
audiofile/knf_05550_00834252679.wav,ಈ ಹಿಂದೆ ನಾಯಕ ಮನೆತನದವರು ಈ ಊರನ್ನು ಆಳುತ್ತಿದ್ದರ೦ತೆ.
audiofile/knf_06123_00344050839.wav,ಆ ಎತ್ತರದ ಕೆಳಗೆ ಪರಕೀಯ ವಿಮಾನಗಳು ಒಂದು ದೇಶದ ಮೇಲೆ ಅದರ ಒಪ್ಪಿಗೆಯಿಲ್ಲದೆ ಹಾರಾಡುವುದು ನಿಷೇಧ
audiofile/knf_03755_01455637299.wav,ಏಕೆಂದರೆ ಅವರು ಉಸಿರಿನ ಮೂಲಕ ಹೊರಹಾಕಿದ ಇಂಗಾಲದ ಡೈ ಆಕ್ಸೈಡ್ ನ ಗುಳ್ಳೆಗಳು ಅವರ ತಲೆಯ ಸುತ್ತಲೇ ಉಳಿದುಕೊಳ್ಳುತ್ತವೆ.
audiofile/knf_03844_01662506119.wav,ಈ ದಿನ ಪ್ರಾರಂಭಕ್ಕೆ ಅನೇಕ ವಿಶ್ವ ನಾಯಕರಿಂದ ಸಹಕಾರ ದೊರೆತಿದೆ.
audiofile/knf_03467_00296369160.wav,ಪ್ರಕೃತಿಯ ರೌದ್ರ ಸ್ವರೂಪವನ್ನು ಇವನು ಪ್ರತಿನಿಧಿಸುತ್ತಾನೆ.
audiofile/knf_01493_00404659685.wav,ವಿದ್ಯುನ್ಮಂಡಲದಲ್ಲಿ ವಿದ್ಯುತ್ತಿನಿಂದ ವಿದ್ಯುತ್ ಪೂರಣವಾದ ಅಣುವಿನ  ಸ್ಥಾಯೀ ವಿದ್ಯುತ್ತಿನ ಅಂತಸ್ಥ ಶಕ್ತಿಯಾಗಿದೆ.
audiofile/knf_00001_01623910163.wav,ಸರಣಿಯನ್ನು ಸಾಗಿಸುವ ಮೋಟಾರ್ ನಲ್ಲಿ ವಿಪರೀತ ಕಂಪನ ಮತ್ತು ಹೈ ಕರೆಂಟ್ ಸ್ಪೈಕ್ ಗಳು ಕಾಣಿಸಿಕೊಂಡವು.
audiofile/knf_03574_00156386493.wav,ಒಂದನೆಯ ಮಹಾಯುದ್ಧಕ್ಕೂ ಇದೇ ಮೂಲವೆನ್ನುವವರೂ ಇದ್ದಾರೆ.
audiofile/knf_07598_00253012742.wav,ಗುರುತ್ವಾಕರ್ಷಣಾ ಮಾದರಿಯು ಮೂಲಭೂತವಾಗಿ ಆಮದಿಗೆ ಗಮನ ಕೊಡುತ್ತದೆ
audiofile/knf_01779_01391037344.wav,ಉದಾಹರಣೆಗೆ ಎರಡು ತಂಡಗಳು ಪರಸ್ಪರ ಎದುರುಬದುರಾಗಿ ಸಂಧಿಸಿ ಮುಂದೆ ಹೋಗಬಾರದು.
audiofile/knf_09696_00779393186.wav,ಈ ವ್ಯವಹಾರ ಶಿಕ್ಷಣ ವಂತರಿಗೆ ಮಾತ್ರ ಸಾಧ್ಯ ಅವಿಧ್ಯಾವಂತರಿಗೆ ಇದು ಸೂಕ್ತವಲ್ಲ.
audiofile/knf_02049_01955479682.wav,ಹಗಲಿನ ಶಸ್ತ್ರಚಿಕಿತ್ಸಾ ಕೇಂದ್ರಗಳ ಮೂಲಕ ಅನೇಕ ರೋಗಿಗಳ ನಿಗಾವಣೆ ನಡೆಯುತ್ತಿದ್ದು
audiofile/knf_09696_00132652399.wav,ಪ್ರಪಂಚದಲ್ಲಿ ಪದೇ ಪದೇ ಸಂಭವಿಸುವ ಬಿಕ್ಕಟ್ಟುಗಳಿಗೂ ಯುದ್ಧಗಳಿಗೂ ರಾಷ್ಟ್ರಗಳ ನಡುವೆ ಸಹಕಾರ ಇಲ್ಲದಿರುವುದೇ ಕಾರಣ.
audiofile/knf_00557_01128272548.wav,ಸರ್ಪವೇದ
audiofile/knf_00001_01676291107.wav,ಆದ್ದರಿಂದಲೇ ಶರೀರಕ್ರಿಯಾವಿಜ್ಞಾನವನ್ನು ನೋಡಬೇಕು.
audiofile/knf_05550_02041579028.wav,ಅಂತರಿಕ್ಷದೇವತೆಗಳಲ್ಲೆಲ್ಲ ಓಜಸ್ಸುಳ್ಳವನೂ ಬಲಿಷ್ಠನೂ ಆದವನು ಇಂದ್ರ.
audiofile/knf_02049_00114697512.wav,ಅಲ್ಲದೇ ಒಂದು ಗಗನಯಾತ್ರೆಯ ಕಮಾಂಡರ್ ಮತ್ತೊಂದು ಗಗನಯಾತ್ರೆಯ ಕಮಾಂಡರ್ ಗೆ ನಿಲ್ದಾಣವನ್ನು ಅಧಿಕೃತವಾಗಿ ಒಪ್ಪಿಸಿದ ನಂತರ ಗಗನಯಾತ್ರೆಯನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗುತ್ತದೆ.
audiofile/knf_03467_00425446801.wav,ಅಂತರಾಷ್ಟ್ರೀಯ ವ್ಯವಹಾರವು ಅಂತರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರಕ್ಕಿಂತ ವಿಶಾಲವಾಗಿದೆ.
audiofile/knf_03574_00338085389.wav,ಅಂತರ್ಜಾಲದ ಬಳಕೆ ಮತ್ತು ಹೊಸ ತಂತ್ರಜ್ಞಾನಗಳು ಕಾಲಾನುಕ್ರಮದಲ್ಲಿ ವಿಕಸಿತವಾಗುತ್ತ ಹೋದಂತೆ ಈ ವಿಧಾನಗಳೂ ಕೂಡ ಬದಲಾಗುತ್ತಿವೆ.
audiofile/knf_06123_00469293098.wav,ಭಾರತದ ಮಾಜಿ ವೇಗದ ಬೌಲರ್ ಮತ್ತು ಪಂಜಾಬಿ ನಟ ಯೋಗರಾಜ್ ಸಿಂಗ್‌ರ ಮಗನಾದ.
audiofile/knf_07345_01641316274.wav,ಆಂತರಿಕ ದಹನಕಾರಿ ಇಂಜಿನ್ ಎಂದರೆ ಸಾಮಾನ್ಯವಾಗಿ ದಹನ ಅಂತರಿಕವಾಗಿರುವ ಒಂದು ಇಂಜಿನ್.
audiofile/knf_00254_00567573707.wav,ಇದರ ಸ್ಥಾಪಕ ವಿಲ್ಹೆಮ್ ವುಂಟ್.
audiofile/knf_01493_01995951894.wav,ಜಗತ್ಕಾರಣವಾದ ಪರತತ್ತ್ವವೇ ಹೀಗೆ ಬೇರೆ ಬೇರೆ ರೂಪಗಳಲ್ಲಿ ನಮ್ಮನ್ನು ಕೈಹಿಡಿದು ನಡೆಸುತ್ತದೆ ಎಂದು ವರ್ಣಿಸಿದ್ದಾರೆ.
audiofile/knf_05550_01207101906.wav,ಅಮೃತಮಂಥನದಲ್ಲಿ ಧನ್ವಂತರಿ ಹುಟ್ಟಿ ಲೋಕಕ್ಕೆ ಅಮೃತವನ್ನು ತಂದನೆಂದು ಮಹಾಭಾರತದಲ್ಲಿ ಹೇಳಿದೆ.
audiofile/knf_06123_00425937714.wav,ಆದರೆ ಈ ಕಡ್ಡಾಯ ಎಂಬ ನಿಯಮವು ಮೂವತ್ತಾರು ಅಧಿನಿಯಮವನ್ನು ಒಂದೊಂದು ಬಾರಿ ಕಾರ್ಯಕ್ಷೇತ್ರದ ವ್ಯಾಪ್ತಿ ಬಗ್ಗೆ ತಪ್ಪಾಗಿ ಅರ್ಥೈಸಲಾಗುತ್ತದೆ.
audiofile/knf_08476_00919951349.wav,ಪ್ರಯೋಗಶೀಲತೆ
audiofile/knf_03271_01280046274.wav,ಮಣ್ಣು ಹಾಗೂ ಸಂಪುಟದ ನಡುವಿನ ಜಾಗವನ್ನು ಒತ್ತಡಕ್ಕೊಳಪಡಿಸಿರುತ್ತಾರೆ.
audiofile/knf_00254_00386694014.wav,ಅಲ್ಲದೇ ಜ್ವೆಜ್ದ ಹೊರಾಂಗಣದ ಮೇಲಿರುವ ಆಂಟೆನಗಳ ಮೂಲಕ ಭೂ ನಿಯಂತ್ರಣಾ ಕಕ್ಷಾ ಸಂಪರ್ಕ ಕೇಂದ್ರಗಳಿಗೆ ಕಳಿಸಲಾಗುತ್ತಿದೆ
audiofile/knf_03467_00276108653.wav,ಪೂರ್ವ ಮತ್ತು ಪಶ್ಚಿಮ ಭಾಗಗಳ ನಡುವಿನ ಪ್ರಸ್ಥಭೂಮಿ
audiofile/knf_02049_02025772085.wav,ಇವುಗಳನ್ನು ಮೂಲವಾಗಿಟ್ಟುಕೊಂಡು ಎಲ್ಲ ಜಟಿಲವಾದ ಸಮಸ್ಯೆಗಳನ್ನು ಬಗೆಹರಿಸಬಹುದು
audiofile/knf_02049_01784472631.wav,ವೈಜ್ಞಾನಿಕವಾಗಿ ಪೂರಕ ಪ್ರದೇಶದಿಂದ ವಿಸರ್ಜಕ ಪ್ರದೇಶಗಳೆಡೆಗೆ ಹರಿಯುತ್ತದೆ.
audiofile/knf_02173_00088208001.wav,ಎಂಟ್ನೂರು ಮೀಟರ್‌ಗಳಲ್ಲಿ
audiofile/knf_05550_02063995300.wav,ಒಟ್ಟು ಜನಸಂಖ್ಯೆ ೨೪
audiofile/knf_07345_00588277191.wav,ತತ್ತ್ವಜ್ಞರು ಜಗತ್ತಿನ ಸತ್ಯತೆ ಮಿಥ್ಯತೆಗಳನ್ನು ವಿಮರ್ಶಿಸುವಾಗ ಜಗತ್ತಿನಲ್ಲಿರುವ ಸತ್ಯವಾವುದು
audiofile/knf_03755_00141583896.wav,ಮೊದಲು 1945ನೇ ಇಸವಿಯ ಡಿಸೆಂಬರ್ 27ರಂದು ಪ್ರಥಮವಾಗಿ ಸೇರ್ಪಡೆಗೊಂಡ 29 ರಾಷ್ಟ್ರಗಳು ನಿಬಂಧನೆಗಳ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಿದಾಗ  ಅಂತರರಾಷ್ಟ್ರೀಯ ಹಣಕಾಸು ನಿಧಿ ವಿಧ್ಯುಕ್ತವಾಗಿ ಸ್ಥಾಪನೆಯಾಗಿತ್ತು.
audiofile/knf_03574_01609069976.wav,ಅಲ್ಲದೇ ಅದಕ್ಕೆ ಅಗತ್ಯ ತರಬೇತಿ ವ್ಯವಸ್ಥೆ ಮಾಡಿದರು.
audiofile/knf_00001_00413020320.wav,ಈ ಶಾಖೆಯ ಕಾಯಿದೆ ಹೆಸರಿಗೆ ಕಾಯಿದೆ
audiofile/knf_00254_01943050738.wav,ನಂತರ ದೇಶದ ಅತ್ಯಂತ ಗೌರವಾನ್ವಿತ ಪ್ರಶಸ್ತಿಯಾದ ರಾಜೀವ್ ಗಾಂಧಿ ಖೇಲ್ ರತ್ನವನ್ನು 2003-2004 ನೇ ಸಾಲಿನಲ್ಲಿ ನೀಡಲಾಯಿತು.
audiofile/knf_03755_00398180127.wav,ಹಗಲಿನ ವೇಳೆಯಲ್ಲಿನ ಭೂಮಿಯ ಮೇಲೆ ಬೆಳಕಿರುವ ಭಾಗದಲ್ಲಿ ಬ್ಯಾಟರಿಗಳನ್ನು ಪುನರಾವೇಶಿಸಲಾಗುತ್ತದೆ.
audiofile/knf_05550_00445854911.wav,"ಮಾರುಕಟ್ಟೆ ವಿಸ್ತರಣೆ ,  ಈ ವ್ಯವಹಾರವು ಮಾರುಕಟ್ಟೆಗಳನ್ನು ವಿಸ್ತರಿಸುತ್ತದೆ."
audiofile/knf_09696_01661748829.wav,"ಭೌಗೋಳಿಕ ವಿಶೇಷತೆ ಮತ್ತು ಕ್ರಮ ವಿಭಜನೆ, ಎಲ್ಲಾ ದೇಶಗಳು ಒಂದೇ ರೀತಿಯ ಹವಗುಣ ಮತ್ತು ವಾಯುಗುಣ ಹೊಂದಿರುವುದಿಲ್ಲ."
audiofile/knf_02173_00798528092.wav,ರಾಂಪ್‌ನಲ್ಲಿ ಬಲಕ್ಕೆ ತಿರುಗಿ
audiofile/knf_09696_00069342685.wav,ಮಾಗಿದ ಹಣ್ಣುಗಳನ್ನು ಕಿತ್ತು ಹಣ್ಣಿನಮೇಲೆ ಹಣ್ಣು ಬೀಳದಂತೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಮರದ ತಟ್ಟೆಯಲ್ಲಿಡುತ್ತಾರೆ
audiofile/knf_01493_01634609182.wav,ಇದು ನಿಲ್ದಾಣದ ಜೋಡಣಾ ಯೋಜನೆಗಳಿಗೆ ತಾತ್ಕಾಲಿಕ ತಡೆಯೊಡ್ಡಿತು.
audiofile/knf_08476_00023010443.wav,ತನ್ನ ವ್ಯವಹಾರದಿಂದ ಸಂಭವಿಸಬಹುದಾದ ಎಲ್ಲ ಲಾಭನಷ್ಟಗಳಿಗೂ ಈ ಸಂಸ್ಥೆಯೇ ಪುರ್ಣವಾಗಿ ಹೊಣೆಯಾಗಿದೆ
audiofile/knf_07345_01995564245.wav,ಇದೇ ರೀತಿ ಚಳಿಗಾಲದ ಜವೆಗೋದಿಯ ತಳಿಯ ಮೊಳೆಯುತ್ತಿರುವ ಬೀಜಗಳನ್ನು
audiofile/knf_05550_00658415434.wav,ನೀರಿನ ಆವಿಯಿದ್ದರೆ ತನ್ನ ದೃಢತೆಯನ್ನು ಕಳೆದುಕೊಳ್ಳುವುದರಿಂದ ಅವುಗಳ ಉಪಯೋಗ ಕಾಗದಗಳನ್ನು ಅಂಟಿಸಲು ಮಾತ್ರ.
audiofile/knf_01796_00681401725.wav,ಆದರೂ ಕೂಡ ಈ ಅಂದಾಜನ್ನು ಅಪೋಲೋ ಪ್ರೋಗ್ರಾಂ ನ ಆಧಾರದ ಮೇಲೆ ಮಾಡಲಾಗಿದ್ದು
audiofile/knf_03271_00149014152.wav,ಫ್ರೆಂಚ್ ಮತ್ತು ಜರ್ಮನ್ ಮಾರ್ಕ್ಸ್ ವಾದಿಗಳು ಇದರ ಸ್ಥಾಪನೆಯ ಕಾಲದಲ್ಲಿ ಪ್ರಭಾವಶಾಲಿಗಳಾಗಿದ್ದರು.
audiofile/knf_09696_00309359849.wav,ಪಾತ್ರ ಹಾಗು ಜವಾಬ್ದಾರಿಗಳಿಗೆ ಅನುಸಾರವಾಗಿ ಅನ್ವಯಗಳನ್ನು ಬಳಕೆ ಮಾಡಬಹುದು.
audiofile/knf_03844_01783103658.wav,ಈ ಪದ್ದತಿಯಲ್ಲಿ ವ್ಯಾಜ್ಯದವರು ತಮಗೆ ಬೇಕಾದ ನ್ಯಾಯಾಧೀಶರನ್ನು ನಾಮಸೂಚಕ ಮಾಡಬಹುದು.
audiofile/knf_05820_00760499597.wav,ಕೂಡಿಸು
audiofile/knf_00254_01445391292.wav,ಅಲ್ಲದೇ ಅವುಗಳನ್ನು ಅಲ್ಲಿನ ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಬೇಯಿಸುತ್ತಾರೆ.
audiofile/knf_09696_00657972668.wav,ಅಂಗಾಂಶ ಇಂಜಿನಿಯರಿಂಗ್ ಈಗ ಎದುರಿಸುತ್ತಿರುವ ಮುಖ್ಯ ಸವಾಲು ಏನೆಂದರೆ ಇದು ಇನ್ನೂ ಹೆಚ್ಚಿನ ಕಾರ್ಯನಿರ್ವಹಣೆಯನ್ನು ಹೊಂದುವಂತಹುದ್ದಾಗಬೇಕಾಗಿದೆ.
audiofile/knf_00557_00082497925.wav,ಇದು 990 ಕಿಲೋಮೀಟರ್
audiofile/knf_09123_01402865830.wav,ಪಟ್ಟಿಯ ಮಾನದಂಡ ಅಂಕ ಅಂಗೀಕೃತ ಪದ್ಧತಿಯಲ್ಲಿ ಬಳಸಲಾಗುತ್ತದೆ ಮತ್ತು ಗುಣಮಟ್ಟದ ಕೆಲಸ ಎಂದು ಲೆಕ್ಕ ಏನು ಚರ್ಚೆಗೆ ಅವಕಾಶ ಎಂದು
audiofile/knf_01779_01043659655.wav,ಅಂಜದೀವ್ನ ಬಳಿ ಭಾರತದ ಜಲನೌಕೆಗಳು ಹೋದಾಗ ಪೋರ್ಚುಗೀಸ್ ಪಡೆಗಳು ಶರಣಾಗತವಾದವು.
audiofile/knf_03755_01420581943.wav,ಆದರೂ ಅಂತಹ ತುಣುಕುಗಳು ಸ್ವತಃ ತಮ್ಮನ್ನು ಬೃಹತ್ ಗೋಡೆಗಳು ಅಥವಾ ಏಕಶಿಲೆಗಳಾಗಿ ಪ್ರಸ್ತುತ ಪಡಿಸುತ್ತವೆ
audiofile/knf_01493_01656566847.wav,ಹತ್ತಿಯನ್ನು ಬೆಳೆದು ಎಲ್ಲವನ್ನೂ ಹೊರದೇಶಗಳಿಗೆ ರಫ್ತು ಮಾಡುತ್ತಾರೆ.
audiofile/knf_01796_00821693610.wav,ಆದರೆ ಇಂಥ ಶಿಲೆಗಳಲ್ಲಿ ಹೆಚ್ಚಿನ ವೇಳೆ ಬಿರುಕುಗಳಿರುವುದರಿಂದ ಅವುಗಳ ಮೂಲಕ ನೀರು ನೆಲದಾಳಕ್ಕೆ ಇಳಿಯುತ್ತದೆ.
audiofile/knf_03467_00623433865.wav,"ಅಂತರ್ಜಾಲಗಳು ಬಳಕೆದಾರನ, ನಿರ್ದಿಷ್ಟ ಉದ್ದೇಶದ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿರುವುದರಿಂದ ನೀವು ಯಾರೊಂದಿಗೆ ಮುಖಾಮುಖಿ ಮಾಡುತ್ತಿರುವಿರೆಂದು ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ತಿಳಿದಿರುತ್ತದೆ."
audiofile/knf_09123_01087915920.wav,ಭಾರತೀಯ ಬಾಂಧವರನ್ನು ಮತ್ತು ಪೋರ್ಚುಗೀಸರ ವಶದಲ್ಲಿದ್ದ ಇನ್ನುಳಿದ ವಸಾಹತುಗಳನ್ನು ಭಾರತ ಹೇಗೆ ಮುಕ್ತಿಗೊಳಿಸಿತೆಂಬುದು ಇಂದಿನ ಇತಿಹಾಸಕ್ಕೆ ಸೇರಿಕೊಂಡಿರುವ ವಿಷಯ
audiofile/knf_01796_01050913875.wav,ಸಮಯಸಾಧಕ ಮುಂದಾಳುಗಳು ಈ ಅಂತಾರಾಷ್ಟ್ರೀಯದ ಕಡೆಯ ವರ್ಷಗಳಲ್ಲಿ ಸಮಾಜವಾದಿ ತತ್ತ್ವವನ್ನು ಕೈಬಿಟ್ಟು ಬೂಜರ್್ವ ಸುಧಾರಣಾ ನೀತಿಗೆ ಮಾರುಹೋಗಿ ಅದರ ಕ್ರಾಂತಿಕಾರಿ ನೀತಿಯನ್ನು ಮೊಟಕು ಮಾಡಿದರು.
